Rank,Model,Type,Val_R2,Test_R2,Train_R2,Val_RMSE,Test_RMSE,train_time,inference_time,total_time
1,KNN_k10,Other,0.16571438480942668,-1.2759322330480551,0.3556560642646929,0.07448769214518948,0.14268987293806856,0.0015065670013427734,0.12988948822021484,0.13139605522155762
2,KNN_k5,Other,0.13231859124499334,-1.5220001991524805,0.46413945838466275,0.0759639058902485,0.15020557293980047,0.002004384994506836,0.0764322280883789,0.07843661308288574
3,ElasticNet_01,Linear,-0.00023730816606915006,-0.5336626418050296,0.0,0.08156027203809692,0.11713276826527122,0.002111196517944336,0.0010156631469726562,0.003126859664916992
4,ElasticNet_1,Linear,-0.00023730816606915006,-0.5336626418050296,0.0,0.08156027203809692,0.11713276826527122,0.0029997825622558594,0.0,0.0029997825622558594
5,KNN_k15,Other,0.16716591975597073,-1.209319055222096,0.30536935358311046,0.07442286509069114,0.1405862048069135,0.0031490325927734375,0.15814495086669922,0.16129398345947266
6,Ridge_alpha001,Linear,0.10900437138728925,-4.074888818077871,0.19781348770883478,0.07697769944341983,0.2130721822934496,0.004014492034912109,0.0,0.004014492034912109
7,Lasso_alpha1,Linear,-0.00023730816606915006,-0.5336626418050296,0.0,0.08156027203809692,0.11713276826527122,0.0049822330474853516,0.001001119613647461,0.0059833526611328125
8,Ridge_alpha1,Linear,0.10920342947374251,-4.106472494489499,0.19781113743721312,0.07696910013665151,0.21373418348186676,0.006099224090576172,0.0007441043853759766,0.0068433284759521484
9,Ridge_alpha10,Linear,0.11068190758792451,-4.377080139489079,0.19760830150744335,0.07690519980798924,0.21932429525620672,0.006500720977783203,0.0,0.006500720977783203
10,Ridge_alpha01,Linear,0.10902280469917247,-4.077775667359756,0.19781346410837564,0.07697690316494472,0.21313277670718508,0.008319854736328125,0.0020110607147216797,0.010330915451049805
11,Lasso_alpha01,Linear,0.06320324392955623,-3.389402745484058,0.08703167581656479,0.07893140438780195,0.19816009574110355,0.011698722839355469,0.0,0.011698722839355469
12,DecisionTree_d5,Tree,0.12845622932489975,-2.4772132907849835,0.2596746105306742,0.07613278948727456,0.1763718025117978,0.02800726890563965,0.0009851455688476562,0.028992414474487305
13,Lasso_alpha001,Linear,0.11713479070985622,-5.48847680288962,0.18584019964666798,0.07662568015927959,0.2409266633879256,0.028528451919555664,0.0,0.028528451919555664
14,LinearRegression,Linear,0.10900231902579538,-4.07456786344705,0.1978134879475646,0.07697778810040656,0.21306544445274556,0.04088544845581055,0.0,0.04088544845581055
15,DecisionTree_d10,Tree,0.11189304638501096,-4.202805776351251,0.6087513944001383,0.07685281438718428,0.21574080495411682,0.06244015693664551,0.0008807182312011719,0.06332087516784668
16,DecisionTree_d15,Tree,-0.02968543146779523,-3.061343693562492,0.8919254066407762,0.08275217647766989,0.19061117550296966,0.11354517936706543,0.005760908126831055,0.11930608749389648
17,DecisionTree_d20,Tree,-0.10103869687867006,-3.0613924634968956,0.9847307152248689,0.08557135961330502,0.19061231995999176,0.20032548904418945,0.0,0.20032548904418945
18,MLP_h100_100,Other,0.11300381534998571,-35.073058496221044,0.4720828358089134,0.07680473885444387,0.5680740762691714,1.5588016510009766,0.0040721893310546875,1.5628738403320312
19,RandomForest_n100,RandomForest,0.41947440660638513,-2.155132805409282,0.8758971193129653,0.06213521801532954,0.16800503987642354,2.494358777999878,0.05098152160644531,2.5453402996063232
20,GradientBoosting_n100,GradientBoosting,0.37264249264602767,-1.593642426108567,0.6600723531496685,0.06459288621997804,0.15232407122340963,2.7599611282348633,0.0040111541748046875,2.763972282409668
21,AdaBoost_n300,Other,-0.032007946897143036,-2.2157725545813967,0.12123462168609245,0.08284545008683332,0.1696118339745518,2.918191432952881,0.1857163906097412,3.103907823562622
22,SVR_rbf,Other,-0.007846453694020372,-39.677691067216614,0.4445684767224961,0.08186991263836307,0.6032420883765485,5.04709529876709,0.3214261531829834,5.368521451950073
23,MLP_h100,Other,-0.10512665570811452,-9.161676373746568,0.387740087325812,0.08573006797659459,0.30150614483120736,5.794092416763306,0.0020101070404052734,5.796102523803711
24,RandomForest_n300,RandomForest,0.42520910286948654,-2.17123630662367,0.9235073826735949,0.06182755632974791,0.16843323516908348,8.791668891906738,0.14964699745178223,8.94131588935852
25,GradientBoosting_n300,GradientBoosting,0.4267137646052206,-3.173509546024423,0.8790189203740609,0.0617465786031926,0.1932253904415469,13.28130316734314,0.032712697982788086,13.314015865325928
26,RandomForest_n500,RandomForest,0.42838198595050436,-2.1757940725657843,0.9298281087148716,0.06165667412007207,0.16855422956299035,14.844627857208252,0.22890949249267578,15.073537349700928
27,GradientBoosting_n500,GradientBoosting,0.4337469785676774,-2.6673318432446194,0.9376194430829949,0.06136664877155832,0.18112925158665316,25.212331295013428,0.10346531867980957,25.315796613693237
28,SVR_linear,Other,0.0930569331031662,-2.59111467195009,0.1792813057536481,0.07766353485410801,0.17923718915765252,717.7069840431213,0.0805060863494873,717.7874901294708
