Model,Type,Val_R2,Test_R2,Train_R2,Val_RMSE,Test_RMSE,train_time,inference_time,total_time
GradientBoosting_n500,GradientBoosting,0.4337469785676774,-2.6673318432446194,0.9376194430829949,0.06136664877155832,0.18112925158665316,25.212331295013428,0.10346531867980957,25.315796613693237
RandomForest_n500,RandomForest,0.42838198595050436,-2.1757940725657843,0.9298281087148716,0.06165667412007207,0.16855422956299035,14.844627857208252,0.22890949249267578,15.073537349700928
GradientBoosting_n300,GradientBoosting,0.4267137646052206,-3.173509546024423,0.8790189203740609,0.0617465786031926,0.1932253904415469,13.28130316734314,0.032712697982788086,13.314015865325928
RandomForest_n300,RandomForest,0.42520910286948654,-2.17123630662367,0.9235073826735949,0.06182755632974791,0.16843323516908348,8.791668891906738,0.14964699745178223,8.94131588935852
RandomForest_n100,RandomForest,0.41947440660638513,-2.155132805409282,0.8758971193129653,0.06213521801532954,0.16800503987642354,2.494358777999878,0.05098152160644531,2.5453402996063232
GradientBoosting_n100,GradientBoosting,0.37264249264602767,-1.593642426108567,0.6600723531496685,0.06459288621997804,0.15232407122340963,2.7599611282348633,0.0040111541748046875,2.763972282409668
KNN_k15,Other,0.16716591975597073,-1.209319055222096,0.30536935358311046,0.07442286509069114,0.1405862048069135,0.0031490325927734375,0.15814495086669922,0.16129398345947266
KNN_k10,Other,0.16571438480942668,-1.2759322330480551,0.3556560642646929,0.07448769214518948,0.14268987293806856,0.0015065670013427734,0.12988948822021484,0.13139605522155762
KNN_k5,Other,0.13231859124499334,-1.5220001991524805,0.46413945838466275,0.0759639058902485,0.15020557293980047,0.002004384994506836,0.0764322280883789,0.07843661308288574
DecisionTree_d5,Tree,0.12845622932489975,-2.4772132907849835,0.2596746105306742,0.07613278948727456,0.1763718025117978,0.02800726890563965,0.0009851455688476562,0.028992414474487305
